id,type,term,sense,translation,example_de,example_en,levels,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,word_family,mnemonic_hint,approved_by_native,connector_function,verb_position_effect,highlighted_example,noun_article_rule,source_name,source_url,review_status
11,konjunktion,obgleich,introduces formal concessive clause,although,"Er kam zur Arbeit, obgleich er sich krank fühlte.",He came to work although he felt sick.,B2,connector,2,occasional,,,,,,,,,,,,,,,,,,,,,,,,,,concessive,subordinate_verb_end,"Er kam zur Arbeit, obgleich er sich krank **fühlte**.",,Manual Konjunktionen Guide,,verified
12,konjunktion,dass,introduces content object/subject clause,that,"Ich weiß genau, dass du dir große Mühe gibst.",I know well that you are making great effort.,A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,subordinating,subordinate_verb_end,"Ich weiß genau, dass du dir große Mühe **gibst**.",,Manual Konjunktionen Guide,,verified
13,konjunktion,ob,introduces indirect question or doubt,whether / if,"Ich bin mir nicht sicher, ob der Zug pünktlich abfährt.",I am not sure whether the train departs on time.,A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,interrogative,subordinate_verb_end,"Ich bin mir nicht sicher, ob der Zug pünktlich **abfährt**.",,Manual Konjunktionen Guide,,verified
14,konjunktion,damit,introduces purpose clause with different subject,so that / in order that,"Er spricht langsam, damit ihn alle verstehen.",He speaks slowly so that everyone understands him.,B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,final,subordinate_verb_end,"Er spricht langsam, damit ihn alle **verstehen**.",,Manual Konjunktionen Guide,,verified
15,konjunktion,als,introduces single past event temporal clause,when,"Als ich ein Kind war, wohnte ich in München.","When I was a child, I lived in Munich.",A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Als ich ein Kind **war**, wohnte ich in München.",,Manual Konjunktionen Guide,,verified
16,konjunktion,während,introduces simultaneous temporal clause or contrast,while / whereas,"Ich höre Musik, während ich die Wohnung putze.",I listen to music while I clean the apartment.,B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Ich höre Musik, während ich die Wohnung **putze**.",,Manual Konjunktionen Guide,,verified
17,konjunktion,bevor,introduces anteriority temporal clause,before,"Putz dir die Zähne, bevor du ins Bett gehst.",Brush your teeth before you go to bed.,A2,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Putz dir die Zähne, bevor du ins Bett **gehst**.",,Manual Konjunktionen Guide,,verified
18,konjunktion,nachdem,introduces posteriority temporal clause,after,"Nachdem er gegessen hatte, legte er sich hin.","After he had eaten, he lay down.",B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Nachdem er gegessen **hatte**, legte er sich hin.",,Manual Konjunktionen Guide,,verified
19,konjunktion,seit / seitdem,introduces past point continuing into present,since,"Ich wohne hier, seitdem ich mein Studium begonnen habe.",I have lived here since I started my studies.,B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Ich wohne hier, seitdem ich mein Studium begonnen **habe**.",,Manual Konjunktionen Guide,,verified
20,konjunktion,bis,introduces temporal limit clause,until,"Wir warten hier, bis der Regen aufhört.",We wait here until the rain stops.,A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Wir warten hier, bis der Regen **aufhört**.",,Manual Konjunktionen Guide,,verified
21,konjunktion,solange,introduces temporal duration clause,as long as,"Solange du Fieber hast, bleibst du im Bett.","As long as you have a fever, you stay in bed.",B1,connector,3,common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Solange du Fieber **hast**, bleibst du im Bett.",,Manual Konjunktionen Guide,,verified
22,konjunktion,sobald,introduces immediate sequence clause,as soon as,"Ich rufe dich an, sobald ich am Bahnhof ankomme.",I will call you as soon as I arrive at the station.,B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,subordinate_verb_end,"Ich rufe dich an, sobald ich am Bahnhof **ankomme**.",,Manual Konjunktionen Guide,,verified
23,konnektor,deshalb,introduces logical result / consequence,therefore / that is why,"Es regnet in Strömen, deshalb bleibe ich zu Hause.","It is pouring rain, therefore I am staying home.",A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,consecutive,position_1_inversion,"Es regnet in Strömen, deshalb **bleibe** ich zu Hause.",,Manual Konjunktionen Guide,,verified
24,konnektor,darum,introduces reason / consequence,therefore / for that reason,"Er hat verschlafen, darum beeilt er sich jetzt.","He overslept, for that reason he is hurrying now.",A2,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,consecutive,position_1_inversion,"Er hat verschlafen, darum **beeilt** er sich jetzt.",,Manual Konjunktionen Guide,,verified
25,konnektor,folglich,introduces formal logical consequence,consequently / as a result,"Sie hat die Prüfung bestanden, folglich feiert sie heute.","She passed the exam, consequently she is celebrating today.",B2,connector,3,common,,,,,,,,,,,,,,,,,,,,,,,,,,consecutive,position_1_inversion,"Sie hat die Prüfung bestanden, folglich **feiert** sie heute.",,Manual Konjunktionen Guide,,verified
26,konnektor,trotzdem,introduces unexpected contrast,nevertheless / anyway,"Es ist sehr stürmisch, trotzdem gehen wir spazieren.","It is very stormy, nevertheless we go for a walk.",A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,concessive,position_1_inversion,"Es ist sehr stürmisch, trotzdem **gehen** wir spazieren.",,Manual Konjunktionen Guide,,verified
27,konnektor,dennoch,introduces formal contrast,yet / however,"Das Projekt war schwierig, dennoch haben wir es geschafft.","The project was difficult, yet we managed it.",B2,connector,3,common,,,,,,,,,,,,,,,,,,,,,,,,,,concessive,position_1_inversion,"Das Projekt war schwierig, dennoch **haben** wir es geschafft.",,Manual Konjunktionen Guide,,verified
28,konnektor,danach,introduces chronological next action,after that / afterwards,"Wir essen zuerst, danach sehen wir einen Film fern.","We eat first, after that we watch a movie.",A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,position_1_inversion,"Wir essen zuerst, danach **sehen** wir einen Film fern.",,Manual Konjunktionen Guide,,verified
29,konnektor,dann,introduces immediate next step,then,"Ich ziehe mich an, dann verlasse ich das Haus.","I get dressed, then I leave the house.",A1,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,position_1_inversion,"Ich ziehe mich an, dann **verlasse** ich das Haus.",,Manual Konjunktionen Guide,,verified
30,konnektor,vorher,introduces prior action,before that / beforehand,"Wir gehen ins Kino, vorher müssen wir die Karten kaufen.","We are going to the cinema, before that we must buy tickets.",A2,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,position_1_inversion,"Wir gehen ins Kino, vorher **müssen** wir die Karten kaufen.",,Manual Konjunktionen Guide,,verified
31,konnektor,inzwischen,introduces simultaneous action during interval,in the meantime / meanwhile,"Koch du das Essen, inzwischen decke ich den Tisch.","You cook the food, in the meantime I set the table.",B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,position_1_inversion,"Koch du das Essen, inzwischen **decke** ich den Tisch.",,Manual Konjunktionen Guide,,verified
32,konnektor,schließlich,introduces final outcome or conclusion,finally / ultimately,Nach stundenlanger Suche hat er schließlich sein Visum gefunden.,"After hours of searching, he finally found his visa.",B1,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,temporal,position_1_inversion,Nach stundenlanger Suche **hat** er schließlich sein Visum gefunden.,,Manual Konjunktionen Guide,,verified
33,konnektor,außerdem,introduces additional supporting point,furthermore / besides,"Die Wohnung ist schön, außerdem ist sie günstig.","The apartment is nice, furthermore it is affordable.",A2,connector,5,essential,,,,,,,,,,,,,,,,,,,,,,,,,,additive,position_1_inversion,"Die Wohnung ist schön, außerdem **ist** sie günstig.",,Manual Konjunktionen Guide,,verified
34,konnektor,zudem,introduces formal additional argument,in addition / moreover,"Das Hotel war sauber, zudem war das Personal nett.","The hotel was clean, in addition the staff was nice.",B2,connector,3,common,,,,,,,,,,,,,,,,,,,,,,,,,,additive,position_1_inversion,"Das Hotel war sauber, zudem **war** das Personal nett.",,Manual Konjunktionen Guide,,verified
35,konnektor,sonst,introduces negative consequence if condition fails,otherwise / or else,"Wir müssen uns beeilen, sonst verpassen wir den Zug.","We must hurry, otherwise we miss the train.",A2,connector,4,very_common,,,,,,,,,,,,,,,,,,,,,,,,,,conditional,position_1_inversion,"Wir müssen uns beeilen, sonst **verpassen** wir den Zug.",,Manual Konjunktionen Guide,,verified
36,konnektor,andernfalls,introduces formal alternative consequence,otherwise,"Bezahlen Sie die Rechnung, andernfalls erhalten Sie eine Mahnung.","Pay the invoice, otherwise you will receive a reminder.",B2,connector,3,common,,,,,,,,,,,,,,,,,,,,,,,,,,conditional,position_1_inversion,"Bezahlen Sie die Rechnung, andernfalls **erhalten** Sie eine Mahnung.",,Manual Konjunktionen Guide,,verified
37,konjunktion,entweder ... oder,correlative disjunction,either ... or,"Entweder wir gehen ins Kino, oder wir bleiben zu Hause.","Either we go to the cinema, or we stay home.",A2,connector,4,very_common,,,,,,,,double_conjunction,,,,,,,,,,,,,,,,,,alternative,position_0_normal,"Entweder **gehen** wir ins Kino, oder wir **bleiben** zu Hause.",,Manual Konjunktionen Guide,,verified
38,konjunktion,sowohl ... als auch,correlative dual addition,both ... and / as well as,Ich spreche sowohl Deutsch als auch Englisch.,I speak both German and English.,B1,connector,4,very_common,,,,,,,,double_conjunction,,,,,,,,,,,,,,,,,,additive,position_0_normal,Ich **spreche** sowohl Deutsch als auch Englisch.,,Manual Konjunktionen Guide,,verified
39,konjunktion,weder ... noch,correlative dual negation,neither ... nor,Er trinkt weder Kaffee noch mag er Tee.,He drinks neither coffee nor does he like tea.,B1,connector,4,very_common,,,,,,,,double_conjunction,,,,,,,,,,,,,,,,,,additive,position_0_normal,Er **trinkt** weder Kaffee noch **mag** er Tee.,,Manual Konjunktionen Guide,,verified
40,konjunktion,nicht nur ... sondern auch,correlative emphatic addition,not only ... but also,"Sie ist nicht nur intelligent, sondern sie ist auch fleißig.","She is not only intelligent, but she is also hardworking.",B1,connector,4,very_common,,,,,,,,double_conjunction,,,,,,,,,,,,,,,,,,additive,position_0_normal,"Sie **ist** nicht nur intelligent, sondern sie **ist** auch fleißig.",,Manual Konjunktionen Guide,,verified
41,konjunktion,zwar ... aber,correlative concessive contrast,admittedly ... but,"Das Auto ist zwar alt, aber es fährt noch super.","The car is admittedly old, but it still drives great.",B1,connector,4,very_common,,,,,,,,double_conjunction,,,,,,,,,,,,,,,,,,concessive,position_0_normal,"Das Auto **ist** zwar alt, aber es **fährt** noch super.",,Manual Konjunktionen Guide,,verified
42,konjunktion,je ... desto,proportional comparative clause,the [more] ... the [more],"Je mehr du lernst, desto besser verstehst du die Grammatik.","The more you study, the better you understand the grammar.",B1,connector,4,very_common,,,,,,,,double_conjunction,,,,,,,,,,,,,,,,,,correlative,subordinate_verb_end,"Je mehr du **lernst**, desto besser **verstehst** du die Grammatik.",,Manual Konjunktionen Guide,,verified
43,reflexive_verb,sich freuen,to be glad or look forward to,to be glad / to look forward to,Ich freue mich riesig auf den Urlaub.,I am really looking forward to the vacation.,A1,verb,5,essential,,,,,,,,,,,,true,,haben,freut sich,freute sich,gefreut,"reflexive_pronoun::akk; auf/über + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
44,reflexive_verb,sich waschen,to clean one's body or hands,to wash oneself,Er wäscht sich jeden Morgen mit kaltem Wasser.,He washes himself every morning with cold water.,A1,verb,5,essential,,,,,,,,,,,,true,,haben,wäscht sich,wusch sich,gewaschen,reflexive_pronoun::akk,,,,,,,,,,,,Manual Reflexive Verbs,,verified
45,reflexive_verb,sich anziehen,to put clothes on oneself,to get dressed,Ich muss mich schnell anziehen.,I have to get dressed quickly.,A1,verb,5,essential,,,,,,,,,,,,true,true,haben,zieht sich an,zog sich an,angezogen,reflexive_pronoun::akk,,,,,,,,,,,,Manual Reflexive Verbs,,verified
46,reflexive_verb,sich ausziehen,to take off one's clothes,to undress,Zieh dich bitte im Flur aus.,Please undress in the hallway.,A1,verb,5,essential,,,,,,,,,,,,true,true,haben,zieht sich aus,zog sich aus,ausgezogen,reflexive_pronoun::akk,,,,,,,,,,,,Manual Reflexive Verbs,,verified
47,reflexive_verb,sich setzen,to take a seat / sit down,to sit down,Setzen Sie sich bitte auf den Stuhl.,Please take a seat on the chair.,A2,verb,5,essential,,,,,,,,,,,,true,,haben,setzt sich,setzte sich,gesetzt,"reflexive_pronoun::akk; auf + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
48,reflexive_verb,sich erkundigen,to ask for information about something,to inquire / ask about,Ich möchte mich nach den Abfahrtszeiten erkundigen.,I would like to inquire about departure times.,B1,verb,4,very_common,,,,,,,,,,,,true,,haben,erkundigt sich,erkundigte sich,erkundigt,"reflexive_pronoun::akk; nach + Dativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
49,reflexive_verb,sich bedanken,to express gratitude to someone for something,to thank / express thanks,Wir möchten uns herzlich für Ihre Hilfe bedanken.,We would like to thank you warmly for your help.,A2,verb,5,essential,,,,,,,,,,,,true,,haben,bedankt sich,bedankte sich,bedankt,"reflexive_pronoun::akk; bei + Dativ; für + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
50,reflexive_verb,sich bewerben,to submit formal application for job or course,to apply (for a job),Er hat sich um die Stelle als Buchhalter beworben.,He applied for the job as an accountant.,B1,verb,4,very_common,,,,,,,,,,,,true,,haben,bewirbt sich,bewarb sich,beworben,"reflexive_pronoun::akk; um + Akkusativ; bei + Dativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
51,reflexive_verb,sich entscheiden,to make up one's mind,to decide / choose,Ich habe mich für das rote Kleid entschieden.,I decided on the red dress.,B1,verb,5,essential,,,,,,,,,,,,true,,haben,entscheidet sich,entschied sich,entschieden,"reflexive_pronoun::akk; für/gegen + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
52,reflexive_verb,sich erholen,to regain strength or rest from stress,to recover / rest,Im Urlaub möchte ich mich gut erholen.,During vacation I want to recover well.,B1,verb,4,very_common,,,,,,,,,,,,true,,haben,erholt sich,erholte sich,erholt,"reflexive_pronoun::akk; von + Dativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
53,reflexive_verb,sich gewöhnen,to adapt or become accustomed to,to get used to,Ich muss mich an das kalte Wetter gewöhnen.,I must get used to the cold weather.,B1,verb,4,very_common,,,,,,,,,,,,true,,haben,gewöhnt sich,gewöhnte sich,gewöhnt,"reflexive_pronoun::akk; an + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
54,reflexive_verb,sich unterhalten,to converse socially with someone,to chat / converse,Wir haben uns stundenlang über Musik unterhalten.,We chatted for hours about music.,B1,verb,4,very_common,,,,,,,,,,,,true,,haben,unterhält sich,unterhielt sich,unterhalten,"reflexive_pronoun::akk; mit + Dativ; über + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
55,reflexive_verb,sich merken,to retain information in memory,to memorize / keep in mind,Das kann ich mir nicht merken.,I cannot keep that in mind / memorize that.,B1,verb,4,very_common,,,,,,,,,,,,true,,haben,merkt sich,merkte sich,gemerkt,"reflexive_pronoun::dat; + Akkusativ",,,,,,,,,,,,Manual Reflexive Verbs,,verified
56,reflexive_verb,sich vorstellen,to visualize or introduce oneself,to imagine (dat) / introduce oneself (akk),Stell dir das mal vor! / Darf ich mich vorstellen?,Just imagine that! / May I introduce myself?,A2,verb,5,essential,,,,,,,,,,,,true,true,haben,stellt sich vor,stellte sich vor,vorgestellt,reflexive_pronoun::dat / reflexive_pronoun::akk,,,,,,,,,,,,Manual Reflexive Verbs,,verified
