id,type,term,sense,translation,example_de,example_en,levels,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,source_name,source_url,review_status
34,word,anfangs,at the start,initially / at first,Anfangs ging alles gut.,Initially everything went well.,B1,adverb,3,medium,,,,,standard,,,"narrative;time",adverb,,,,false,false,,,,,,"zu Beginn; am Anfang","schließlich; am Ende",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
35,word,angeben,"state facts or details; boast",to specify / to state,Bitte geben Sie Ihre genaue Adresse an.,Please state your exact address.,B1,verb,3,medium,,,,,standard,,,"official;forms",,,,,false,true,haben,gibt an,gab an,angegeben,acc,die Adresse angeben,"nennen; mitteilen",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
36,word,Angabe,information item provided,detail / information,"Wir brauchen von Ihnen folgende Angaben: Name; Adresse; Geburtsdatum.","We need the following details from you: name; address; date of birth.",B1,noun,3,medium,,,,,standard,,,"official;forms",feminine,-n,Angabe,false,false,,,,Angaben machen,"Information; Datum",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
37,word,Angehörige,family member or relative,relative / family member,Der Arzt darf nur Familienangehörigen Auskunft geben.,The doctor may only disclose information to family members.,B1,noun,2,medium-low,,,,,standard,,,"family;medical",masculine,-n,Angehörigen,false,false,,,,,,"Verwandter; Familienmitglied",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
38,word,Angehörige,female family member or relative,relative (female),Die Angehörige wurde vom Arzt informiert.,The female relative was informed by the doctor.,B1,noun,2,medium-low,,,,,standard,,,"family;medical",feminine,-n,Angehörigen,false,false,,,,,,Verwandte,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
39,word,angenehm,pleasurable or agreeable,pleasant / enjoyable,Wir wünschen Ihnen eine angenehme Reise.,We wish you a pleasant journey.,B1,adjective,3,medium,,,,,standard,,,"travel;feelings",adjective,,,,false,false,,,,angenehme Reise,"gemütlich; erfreulich",unangenehm,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
40,word,ängstlich,fearful or easily scared,fearful / timid,Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.,My mother is somewhat fearful. She does not like going out onto the street alone.,B1,adjective,2,medium-low,,,,,standard,,,"personality;emotions",adjective,,,,false,false,,,,,,"furchtsam; unsicher","mutig; tapfer",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
41,word,anhaben,wear a piece of clothing,to have on / to wear,Gestern hatte Julia ein rotes Kleid an.,Yesterday Julia was wearing a red dress.,B1,verb,3,medium,,,,,standard,,,"clothing;daily life",,,,,false,true,haben,hat an,hatte an,angehabt,acc,ein Kleid anhaben,"tragen; anziehen",ausziehen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
42,word,ankündigen,declare beforehand,to announce,Wir sollten unseren Besuch ankündigen.,We should announce our visit.,B1,verb,3,medium,,,,,standard,,,"communication;schedule",,,,,false,true,haben,kündigt an,kündigte an,angekündigt,acc,einen Besuch ankündigen,"bekanntgeben; vermelden",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
43,word,Anlage,system installation / enclosure in mail,sound system / facility / attachment,Meine Musikanlage ist kaputt. / In der Anlage der E-Mail finden Sie meinen Lebenslauf.,My stereo system is broken. / In the attachment to the email you will find my resume.,B1,noun,3,medium,,,,,standard,,,"technology;correspondence",feminine,-n,Anlage,false,false,,,,in der Anlage,"Anhang; Apparatur",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
44,word,Anleitung,printed explanatory steps,instructions / tutorial,"In der Anleitung steht; dass bei diesem Spiel der Älteste beginnt.",The manual says that in this game the oldest starts.,B1,noun,3,medium,,,,,standard,,,"manual;reading",feminine,-en,Anleitung,false,false,,,,nach Anleitung,"Gebrauchsanweisung; Leitfaden",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
45,word,annehmen,"accept an offer; presume",to accept / to assume,"Ich nehme Ihre Einladung gern an. / Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.",I gladly accept your invitation. / I assume that you agree with the proposal.,B1,verb,4,high,,,,,standard,,,"communication;belief",,,,,false,true,haben,nimmt an,nahm an,angenommen,"acc, dass-clause","eine Einladung annehmen; ich nehme an","akzeptieren; vermuten",ablehnen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
46,word,Annonce,printed advertisement,classified ad / advertisement,"Ich habe alle Annoncen gelesen; aber die Wohnungen sind zu teuer.","I read all the classified ads; but the apartments are too expensive.",B1,noun,2,medium-low,,,,,standard,,,"housing;media",feminine,-n,Annonce,false,false,,,,eine Annonce aufgeben,"Anzeige; Inserat",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
47,word,anschaffen,buy or acquire (goods/furniture),to acquire / to purchase,Wir haben uns neue Möbel angeschafft.,We bought ourselves new furniture.,B1,verb,3,medium,,,,,standard,,,"shopping;household",,,,,true,true,haben,schafft an,schaffte an,angeschafft,"acc, refl dat",neue Möbel anschaffen,"kaufen; zulegen",abschaffen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
48,word,anschließen,connect to a network or supply,to connect / to hook up,Wo kann ich den Computer anschließen?,Where can I connect the computer?,B1,verb,3,medium,,,,,standard,,,"technology;devices",,,,,false,true,haben,schließt an,schloss an,angeschlossen,"acc, an + acc",an das Netz anschließen,"verbinden; anstecken",trennen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
49,word,anschnallen,fasten seatbelt,to buckle up / to fasten seatbelt,"Vergiss nicht; dich anzuschnallen.",Do not forget to fasten your seatbelt.,B1,verb,3,medium,,,,,standard,,,"traffic;travel",,,,,true,true,haben,schnallt an,schnallte an,angeschnallt,refl,den Sicherheitsgurt anlegen,angurten,abschnallen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
50,word,ansprechen,address or speak to someone,to address / to speak to,Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.,Yesterday our new neighbor spoke to me in the stairwell.,B1,verb,3,medium,,,,,standard,,,"social;communication",,,,,false,true,haben,spricht an,sprach an,angesprochen,acc,jemanden ansprechen,"anreden; kontaktieren",ignorieren,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
51,word,Anspruch,"legal or moral entitlement; demand",claim / entitlement,Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,You live in the city center. Therefore you have no entitlement to travel allowance.,B1,noun,3,medium,,,,,standard,,,"official;rights",masculine,Ansprüche,Anspruchs,false,false,,,,Anspruch haben auf + acc,"Recht; Forderung",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
52,word,anstellen,"turn on appliance; queue; hire",to turn on / to line up / to employ,Können Sie bitte die Heizung anstellen? / Mein Schwager ist bei einer Möbelfirma angestellt. / Da vorne ist die Kasse. Du musst dich anstellen.,Could you please turn on the heating? / My brother-in-law is employed at a furniture company. / Up there is the cash register. You have to line up.,B1,verb,4,high,,,,,standard,,,"household;jobs;daily life",,,,,true,true,haben,stellt an,stellte an,angestellt,acc / refl,"sich anstellen; die Heizung anstellen","einschalten; einstellen; anstehen","abstellen; kündigen",Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
53,word,sich anstrengen,exert effort,to make an effort / to push oneself,"Diese Arbeit strengt mich sehr an. / Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.","This work exerts me a lot. / If you want to pass the exam; you have to make more of an effort.",B1,verb,3,medium,,,,,standard,,,"work;education",,,,,true,true,haben,strengt sich an,strengte sich an,angestrengt,refl,sich viel Mühe geben,sich bemühen,nachlassen,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
54,word,anstrengend,requiring significant physical or mental effort,exhausting / strenuous,Ich finde diese Arbeit sehr anstrengend.,I find this work very strenuous.,B1,adjective,3,medium,,,,,standard,,,"work;effort",adjective,,,,false,false,,,,anstrengende Arbeit,"mühsam; ermüdend","erholsam; leicht",,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
55,word,Antrag,formal written petition or application,application / request,Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,Have you already filled out an application for housing benefit?,B1,noun,3,medium,,,,,standard,,,"administrative;official",masculine,Anträge,Antrags,false,false,,,,einen Antrag ausfüllen/stellen,"Gesuch; Bewerbung",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
56,word,anwenden,put into practical use,to apply / to use,Diese Salbe muss man dreimal am Tag anwenden.,One must apply this ointment three times a day.,B1,verb,3,medium,,,,,standard,,,"medical;practical",,,,,false,true,haben,wendet an,wandte an / wendete an,angewandt / angewendet,acc,ein Medikament anwenden,"gebrauchen; benutzen",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
57,word,anwesend,physically present,present,Bei dem Treffen waren alle Mitglieder anwesend.,At the meeting all members were present.,B1,adjective,3,medium,,,,,standard,,,"meetings;official",adjective,,,,false,false,,,,anwesend sein,"da; zugegen",abwesend,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
58,word,Anwalt,legal counsel / attorney,lawyer / attorney,Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,I will not pay that. I want to speak to my lawyer first.,B1,noun,3,medium,,,,,standard,,,"legal;profession",masculine,Anwälte,Anwalts,false,false,,,,zum Anwalt gehen,"Rechtsanwalt; Jurist",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
59,word,Anwältin,female legal counsel / attorney,lawyer / attorney (female),Ich möchte zuerst mit meiner Anwältin sprechen.,I want to speak to my lawyer first.,B1,noun,3,medium,,,,,standard,,,"legal;profession",feminine,-nen,Anwältin,false,false,,,,zur Anwältin gehen,"Rechtsanwältin; Juristin",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
60,word,anzeigen,report an offense to authorities,to report / to press charges against,"Wenn Sie hier parken, zeige ich Sie an.",If you park here I will report you.,B1,verb,3,medium,,,,,standard,,,"legal;traffic",,,,,false,true,haben,zeigt an,zeigte an,angezeigt,acc,bei der Polizei anzeigen,"melden; melden bei",,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
61,word,Aprikose,orange-colored stone fruit,apricot,Schmecken dir die Aprikosen?,Do you like the apricots?,B1,noun,2,medium-low,,"D; CH",,standard,DACH: A=Marille,"food;fruit",feminine,-n,Aprikose,false,false,,,,frische Aprikosen,Marille,,,,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
62,word,Arbeiter,manual or industrial employee,worker / laborer,Maria ist seit zwei Jahren Arbeiterin bei Siemens.,Maria has been a worker at Siemens for two years.,B1,noun,3,medium,,,,,standard,,,"jobs;industry",masculine,-,Arbeiters,false,false,,,,als Arbeiter tätig sein,"Werktätiger; Facharbeiter","Angestellter; Chef",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
63,word,Arbeiterin,female manual or industrial employee,worker / laborer (female),Maria ist seit zwei Jahren Arbeiterin bei Siemens.,Maria has been a worker at Siemens for two years.,B1,noun,3,medium,,,,,standard,,,"jobs;industry",feminine,-nen,Arbeiterin,false,false,,,,als Arbeiterin tätig sein,"Werktätige; Facharbeiterin","Angestellte; Chefin",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
64,word,Arbeitserlaubnis,official authorization to work,work permit,Haben Sie eine Arbeitserlaubnis?,Do you have a work permit?,B1,noun,3,medium,Important for migration and employment,,,,standard,,,"administration;jobs",feminine,-se,Arbeitserlaubnis,false,false,,,,eine Arbeitserlaubnis beantragen,Arbeitsgenehmigung,,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
65,word,Arbeitslosigkeit,condition of being without paid employment,unemployment,Die Arbeitslosigkeit ist gesunken.,Unemployment has decreased.,B1,noun,3,medium,,,,,standard,,,"economy;society",feminine,-,Arbeitslosigkeit,false,false,,,,hohe Arbeitslosigkeit,Erwerbslosigkeit,Beschäftigung,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
66,word,Arbeitsstelle,specific employment position,job / position,Meine Frau hat eine neue Arbeitsstelle gefunden.,My wife found a new job.,B1,noun,3,medium,,,,,standard,,,"jobs;work",feminine,-n,Arbeitsstelle,false,false,,,,eine Arbeitsstelle antreten,"Arbeitsplatz; Anstellung",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
67,word,Architekt,person qualified to design buildings,architect,Dieses Haus hat eine berühmte Architektin gebaut.,A famous architect built this house.,B1,noun,3,medium,,,,,standard,,,"architecture;jobs",masculine,-en,Architekten,false,false,,,,als Architekt arbeiten,Baumeister,,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
68,word,Architektin,female person qualified to design buildings,architect (female),Dieses Haus hat eine berühmte Architektin gebaut.,A famous architect built this house.,B1,noun,3,medium,,,,,standard,,,"architecture;jobs",feminine,-nen,Architektin,false,false,,,,als Architektin arbeiten,Baumeisterin,,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
69,word,Ärger,state of irritation or trouble,trouble / anger,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,I had trouble in the office today. I had an argument with a colleague.,B1,noun,4,high,,,,,standard,,,"work;emotions",masculine,-,Ärgers,false,false,,,,Ärger haben mit + dat,"Stress; Zorn; Streit","Freude; Ruhe",,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
70,word,ärgerlich,causing annoyance or irritation,annoying / irritating,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.,The train is delayed yet again. That is really annoying.,B1,adjective,3,medium,,,,,standard,,,"opinion;feelings",adjective,,,,false,false,,,,ärgerlich sein,"nervig; lästig","erfreulich; angenehm",,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
71,word,Art,"type or category; manner of behaving",way / kind / manner / species,Im Zoo haben sie 34 verschiedene Arten von Vögeln. / Seine Art gefällt mir nicht. / Man kann auf unterschiedliche Art und Weise ein Fest feiern.,In the zoo they have 34 different species of birds. / I do not like his manner. / One can celebrate a party in various ways.,B1,noun,4,high,,,,,standard,,,"classification;behavior",feminine,-en,Art,false,false,,,,"Art und Weise; auf diese Art","Sorte; Typ; Weise",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
72,word,Asyl,protection granted to refugees,asylum,Die Menschen sind auf der Flucht und bitten um Asyl.,The people are fleeing and asking for asylum.,B1,noun,3,medium,Frequent in socio-political topics,,,,standard,,,"politics;migration",neuter,-,Asyls,false,false,,,,"um Asyl bitten; Asyl beantragen","Zuflucht; Schutz",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
73,word,atmen,inhale and exhale air,to breathe,Er hat eine Erkältung und kann nicht durch die Nase atmen.,He has a cold and cannot breathe through his nose.,B1,verb,3,medium,,,,,standard,,,"health;body",,,,,false,false,haben,atmet,atmete,geatmet,"intr, durch + acc",tief einatmen,Luft holen,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
74,word,Atem,air drawn in and out during respiration,breath,Bitte den Atem anhalten.,Please hold your breath.,B1,noun,3,medium,,,,,standard,,,"health;body",masculine,-,Atems,false,false,,,,"den Atem anhalten; außer Atem","Puste; Respiration",,,,,Goethe-Zertifikat B1 Wortliste,https://www.goethe.de,draft
