Neue Wörter,New words,"Example sentence here","Translation here"
Jemandem die Daumen drücken,to cross one's fingers for someone (idiom),"We will cross our fingers for your job interview.","Wir drücken dir für dein Vorstellungsgespräch die Daumen."
Einen Bock schießen,to make a stupid mistake (idiom),"He really made a stupid mistake with that presentation.","Er hat bei dieser Präsentation wirklich einen Bock geschossen."
Sich etwas aus den Fingern saugen,to make something up (idiom),"I don't know the answer, I'll have to make something up.","Ich kenne die Antwort nicht, ich muss mir etwas aus den Fingern saugen."
Auf dem Holzweg sein,to be on the wrong track (idiom),"If you think that will work, you are on the wrong track.","Wenn du glaubst, dass das funktioniert, bist du auf dem Holzweg."
Das Handtuch werfen,to throw in the towel (idiom),"After three failed attempts, he threw in the towel.","Nach drei gescheiterten Versuchen warf er das Handtuch."
Schnee von gestern,water under the bridge (idiom),"Don't worry about our argument, that's water under the bridge.","Mach dir wegen unseres Streits keine Sorgen, das ist Schnee von gestern."
Unter aller Kanone,beneath contempt (idiom),"The food at that restaurant was absolutely terrible.","Das Essen in dem Restaurant war unter aller Kanone."
Ins Gras beißen,to bite the dust (idiom),"My old laptop finally bit the dust.","Mein alter Laptop hat endgültig ins Gras gebissen."
Ein Brett vor dem Kopf haben,to be slow on the uptake (idiom),"I was really slow on the uptake today and couldn't solve the puzzle.","Ich hatte heute echt ein Brett vor dem Kopf und konnte das Rätsel nicht lösen."
Jemandem einen Bären aufbinden,to pull someone's leg (idiom),"Are you trying to pull my leg?","Versuchst du mir einen Bären aufzubinden?"
Die Nase voll haben,to be sick and tired of something (idiom),"I am sick and tired of this bad weather.","Ich habe die Nase voll von diesem schlechten Wetter."
Nicht alle Tassen im Schrank haben,to have a screw loose (idiom),"Are you crazy? You must have a screw loose!","Bist du verrückt? Du hast doch nicht alle Tassen im Schrank!"
Aus der Haut fahren,to hit the roof (idiom),"My boss hit the roof when I arrived late again.","Mein Chef ist aus der Haut gefahren, als ich wieder zu spät kam."
Einen Zahn zulegen,to speed up (idiom),"We need to speed up if we want to catch the train.","Wir müssen einen Zahn zulegen, wenn wir den Zug noch erwischen wollen."
Jemandem die Stirn bieten,to stand up to someone (idiom),"She finally stood up to the bully.","Sie hat dem Tyrannen endlich die Stirn geboten."
In den sauren Apfel beißen,to bite the bullet (idiom),"I don't want to do this, but I have to bite the bullet.","Ich will das nicht tun, aber ich muss in den sauren Apfel beißen."
Hals- und Beinbruch,break a leg (idiom),"Break a leg at your performance tonight!","Hals- und Beinbruch für deinen Auftritt heute Abend!"
Jemandem auf die Schliche kommen,to figure someone out (idiom),"The police finally figured out his plan.","Die Polizei ist ihm endlich auf die Schliche gekommen."
Ein Tropfen auf den heißen Stein,a drop in the ocean (idiom),"The donation is helpful, but it's just a drop in the ocean.","Die Spende ist hilfreich, aber nur ein Tropfen auf den heißen Stein."
Auf großem Fuß leben,to live in luxury (idiom),"Since he won the lottery, he lives in luxury.","Seit er im Lotto gewonnen hat, lebt er auf großem Fuß."
Den Faden verlieren,to lose one's train of thought (idiom),"I was distracted and lost my train of thought.","Ich wurde abgelenkt und habe den Faden verloren."
Das ist mir Wurst,I don't care (idiom),"I really don't care what we eat tonight.","Es ist mir wirklich Wurst, was wir heute Abend essen."
Etwas auf die lange Bank schieben,to put something off (idiom),"He always puts his homework off until Sunday evening.","Er schiebt seine Hausaufgaben immer bis Sonntagabend auf die lange Bank."
Jemanden im Regen stehen lassen,to leave someone in the lurch (idiom),"You can't just leave me in the lurch like this!","Du kannst mich nicht einfach so im Regen stehen lassen!"
Sich in die Haare kriegen,to get into a fight (idiom),"The brothers always get into a fight over the remote control.","Die Brüder kriegen sich immer wegen der Fernbedienung in die Haare."
Es fällt kein Meister vom Himmel,practice makes perfect (idiom),"Keep trying to play the guitar, practice makes perfect!","Versuch weiter Gitarre zu spielen, es fällt kein Meister vom Himmel!"
Die kalte Schulter zeigen,to give the cold shoulder (idiom),"She gave me the cold shoulder at the party yesterday.","Sie hat mir gestern auf der Party die kalte Schulter gezeigt."
Mit dem falschen Fuß aufstehen,to get up on the wrong side of the bed (idiom),"You are so grumpy today, did you get up on the wrong side of the bed?","Du bist heute so mürrisch, bist du mit dem falschen Fuß aufgestanden?"
Jemandem ein Dorn im Auge sein,to be a thorn in someone's side (idiom),"The new skyscraper is a thorn in the side of the local residents.","Der neue Wolkenkratzer ist den Anwohnern ein Dorn im Auge."
Sich ein Herz fassen,to take heart (idiom),"She took heart and finally asked him out.","Sie fasste sich ein Herz und fragte ihn endlich nach einem Date."
Aus einer Mücke einen Elefanten machen,to make a mountain out of a molehill (idiom),"Don't make a mountain out of a molehill, it's just a small scratch on the car.","Mach nicht aus einer Mücke einen Elefanten, das ist nur ein kleiner Kratzer am Auto."
Den Gürtel enger schnallen,to tighten one's belt (idiom),"Because of the crisis, we have to tighten our belts.","Wegen der Krise müssen wir den Gürtel enger schnallen."
Auf Nummer sicher gehen,to play it safe (idiom),"I'd rather play it safe and bring an umbrella.","Ich gehe lieber auf Nummer sicher und nehme einen Regenschirm mit."
