id,type,term,sense,translation,example_de,example_en,levels,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,source_name,source_url,review_status
17,word,all-,referring to the whole quantity or every member,"all, everything, everyone",Alles Gute! / Das ist alles. / Sind alle da? / Alle Freunde kommen. / Hast du alles?,All the best! / That is all. / Is everyone here? / All friends are coming. / Do you have everything?,A1,pronoun,5,very high,Fundamental universal determiner/pronoun,curator,2026-03-28,18,standard,DACH,general,"pronoun;;",,,FALSE,FALSE,,,,,,none,"alles Gute; vor allem; alle zusammen","gesamt; jeder","nichts; niemand",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
18,word,allein,without company or assistance,"alone, by oneself",Er kommt allein.,He is coming alone.,A1,adjective,4,high,Common state descriptor,curator,2026-03-28,210,standard,DACH,"personal;social","adjective;adverb;;",,,FALSE,FALSE,,,,,,none,"allein leben; ganz allein","einsam; selbstständig","zusammen; gemeinsam",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
19,word,also,"consequently, therefore, or conversational 'well'","so, therefore, well","Also, es ist so ... / Er hat Zeit, also muss er uns helfen.","Well, it is like this ... / He has time, so he must help us.",A1,adverb,5,very high,Frequent discourse marker and conjunctional adverb,curator,2026-03-28,35,standard,DACH,communication,"discourse marker;;",,,FALSE,FALSE,,,,,,none,"also gut; also dann","folglich; daher",,not English 'also' (means so/therefore),Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
20,word,alt,having lived or existed for a long time,old,Wie alt sind Sie? / Sie sehen aber nicht so alt aus. / Mein Auto ist schon sehr alt. / Wir wohnen in einem sehr alten Haus. / Köln ist eine alte Stadt.,How old are you? / But you do not look that old. / My car is already very old. / We live in a very old house. / Cologne is an old city.,A1,adjective,5,very high,Core descriptive adjective,curator,2026-03-28,65,standard,DACH,"identity;description","adjective;age;;",,,FALSE,FALSE,,,,,,none,"wie alt; alt werden; altes Haus","bejahrt; antik","jung; neu",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
21,word,Alter,number of years someone has lived,age,Alter: 26 Jahre.,Age: 26 years.,A1,noun,4,high,Core form-filling vocabulary,curator,2026-03-28,490,standard,DACH,"identity;official forms","noun;identity",neuter,Alter,Alters,FALSE,FALSE,,,,,,none,"im Alter von; hohes Alter",Lebensalter,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
22,word,an,"touching a surface, at a border, or on a specific day","at, on, to",Fahren Sie an der nächsten Straße nach rechts. / Wir treffen uns am Bahnhof. / Am nächsten Montag geht es leider nicht.,Turn right at the next street. / We meet at the train station. / Next Monday unfortunately doesn't work.,A1,preposition,5,very high,Core two-way preposition and temporal marker,curator,2026-03-28,8,standard,DACH,"spatial;temporal","preposition;;",,,FALSE,FALSE,,,,,+ Dativ / + Akkusativ,"am Bahnhof; am Montag; an der Ecke","bei; neben",,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
23,phrase,an sein,to be switched on or functioning (lights/appliances),to be on,Heute Nacht war das Licht an.,Last night the light was on.,A1,phrase,4,high,Common colloquial state predicate,curator,2026-03-28,340,standard,DACH,"household;daily life","phrase;;",,,FALSE,FALSE,sein,ist an,war an,gewesen sein,intransitive,"das Licht ist an; der Fernseher ist an",eingeschaltet sein,aus sein,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
24,word,anbieten,to present something for acceptance or purchase,to offer,Was darf ich dir anbieten?,What may I offer you?,A1,verb,4,high,Polite hospitality and commercial verb,curator,2026-03-28,320,standard,DACH,"social;shopping","verb;;",,,FALSE,TRUE,haben,bietet an,bot an,angeboten,+ Dativ + Akkusativ,"Hilfe anbieten; Kaffee anbieten","offerieren; vorschlagen",ablehnen,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
25,word,ander-,different from the one mentioned,"other, different","Willst du diese Jacke? - Nein, ich möchte die andere.","Do you want this jacket? - No, I would like the other one.",A1,pronoun,5,very high,Fundamental comparative determiner,curator,2026-03-28,38,standard,DACH,general,"pronoun;adjective;;",,,FALSE,FALSE,,,,,,none,"die anderen; ein anderer Tag","weitere; unterschiedlich","selbe; gleiche",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
26,word,Anfang,the start or beginning of a period or place,"beginning, start",Sie wohnt am Anfang der Straße. / Wir machen Anfang Juli Urlaub.,She lives at the beginning of the street. / We are taking vacation at the beginning of July.,A1,noun,4,high,Core temporal/spatial noun,curator,2026-03-28,210,standard,DACH,"temporal;spatial",noun,masculine,Anfänge,Anfangs,FALSE,FALSE,,,,,,none,"am Anfang; von Anfang an","Beginn; Start","Ende; Schluss",Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
27,word,anfangen,to commence or start an activity/location,"to begin, to start",Hier fängt die Bahnhofstraße an. / Der Unterricht fängt gleich an.,This is where Bahnhofstraße starts. / The class starts in a moment.,A1,verb,5,very high,Core action verb,curator,2026-03-28,140,standard,DACH,"general;education","verb;;",,,FALSE,TRUE,haben,fängt an,fing an,angefangen,"intransitive; mit + Dativ","gleich anfangen; von vorne anfangen","beginnen; starten","aufhören; beenden",,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
28,word,Angebot,"special promotion or price reduction; an offer","offer, special offer, sale",Heute sind Sportschuhe im Angebot.,Today sports shoes are on special offer.,A1,noun,4,high,Retail and commercial term,curator,2026-03-28,290,standard,DACH,"shopping;business","noun;commerce",neuter,Angebote,Angebots,FALSE,FALSE,,,,,,none,"im Angebot sein; ein Angebot machen","Sonderangebot; Offerte",Nachfrage,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
29,word,anklicken,to select an item on a screen using a mouse,to click on,Da musst du dieses Wort anklicken.,You have to click on this word there.,A1,verb,3,medium,Basic digital literacy term,curator,2026-03-28,1250,standard,DACH,"technology;internet","verb;digital;;",,,FALSE,TRUE,haben,klickt an,klickte an,angeklickt,+ Akkusativ,"einen Link anklicken; ein Symbol anklicken","klicken; auswählen",einen Link anklicken,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
30,word,ankommen,to reach a destination,to arrive,Wann kommt dieser Zug in Hamburg an?,When does this train arrive in Hamburg?,A1,verb,4,high,Essential travel verb,curator,2026-03-28,220,standard,DACH,"travel;transport","verb;transport;;",,,FALSE,TRUE,sein,kommt an,kam an,angekommen,"intransitive; in/an + Dativ","pünktlich ankommen; gut ankommen","eintreffen; erreichen","abfahren; abreisen",,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
31,word,ankreuzen,to mark an option with a cross on a form/test,"to check, to tick, to cross",Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.,On the form you have to cross something in several places.,A1,verb,3,medium,Instructional exam/form vocabulary,curator,2026-03-28,1310,standard,DACH,"exam;official forms","verb;instructions;;",,,FALSE,TRUE,haben,kreuzt an,kreuzte an,angekreuzt,+ Akkusativ,"die richtige Antwort ankreuzen; ein Kästchen ankreuzen","anhaken; markieren",,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
32,word,Ankunft,act of reaching a destination,arrival,Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.,This timetable only shows the arrival (time) of the trains.,A1,noun,4,high,Essential travel noun,curator,2026-03-28,640,standard,DACH,"travel;transport","noun;transport",feminine,Ankünfte,Ankunft,FALSE,FALSE,,,,,,none,"Ankunft der Züge; Ankunftszeit",Eintreffen,Abfahrt,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
33,word,Ankunftszeit,scheduled clock time when a vehicle arrives,arrival time,Auf dem Plan steht die Ankunftszeit der Züge.,The arrival time of the trains is on the timetable.,A1,noun,4,high,Transit travel schedule noun,curator,2026-03-28,780,standard,DACH,"travel;transport","noun;time",feminine,Ankunftszeiten,Ankunftszeit,FALSE,FALSE,,,,,,none,"die genaue Ankunftszeit; Ankunftszeit angeben","Ankunft; Landezeit",Abfahrtszeit,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
34,word,anmachen,to switch on an electrical device or light,"to turn on, to switch on",Mach bitte das Licht an!,Please turn on the light!,A1,verb,4,high,Everyday household verb,curator,2026-03-28,580,standard,DACH,"household;daily life","verb;;",,,FALSE,TRUE,haben,macht an,machte an,angemacht,+ Akkusativ,"das Licht anmachen; die Heizung anmachen",einschalten,"ausmachen; ausschalten",,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
35,word,anmelden,to register or sign up for something (oneself or someone),"to register, to log in, to sign up",Wo kann ich mich anmelden?,Where can I register?,A1,verb,4,high,Administrative and course enrollment verb,curator,2026-03-28,430,standard,DACH,"official forms;education","verb;;",,,TRUE,TRUE,haben,meldet an,meldete an,angemeldet,"sich anmelden; für + Akkusativ","sich zum Kurs anmelden; online anmelden","registrieren; einschreiben",abmelden,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
36,word,Anmeldung,registration or reception desk/procedure,"registration, enrollment, check-in",Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,Registration for this course is no longer possible.,A1,noun,4,high,Administrative term,curator,2026-03-28,520,standard,DACH,"education;administrative",noun,feminine,Anmeldungen,Anmeldung,FALSE,FALSE,,,,,,none,"zur Anmeldung gehen; Bestätigung der Anmeldung","Registrierung; Einschreibung",Abmeldung,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
37,word,Anrede,formal title or formula used when addressing someone,"form of address, salutation",Schreiben Sie auch eine Anrede und einen Gruß.,Also write a salutation and a greeting.,A1,noun,3,medium,Letter writing and exam instruction word,curator,2026-03-28,1680,standard,DACH,"communication;exam","noun;writing",feminine,Anreden,Anrede,FALSE,FALSE,,,,,,none,"passende Anrede; förmliche Anrede","Begrüßung; Grußformel",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
38,word,Anruf,a phone call received or made,phone call,Sie bekommt viele Anrufe auf ihrem Handy.,She receives many calls on her mobile phone.,A1,noun,4,high,Core telecommunications noun,curator,2026-03-28,490,standard,DACH,"communication;telecommunications","noun;phone",masculine,Anrufe,Anrufs,FALSE,FALSE,,,,,,none,"einen Anruf bekommen; verpasster Anruf","Telefonanruf; Telefongespräch",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
39,word,Anrufbeantworter,device that records phone messages,answering machine,Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.,We are currently not here. Please leave a message on the answering machine.,A1,noun,3,medium,Telecommunications vocabulary,curator,2026-03-28,1890,standard,DACH,"communication;telecommunications","noun;tech",masculine,Anrufbeantworter,Anrufbeantworters,FALSE,FALSE,,,,,,none,auf den Anrufbeantworter sprechen,"Mailbox; Anrufbeantworterdienst",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
40,word,anrufen,to make a telephone call to someone,to call (by phone),Kann man Sie anrufen? / Peter ruft kurz seine Freundin an.,Can one call you? / Peter briefly calls his girlfriend.,A1,verb,5,very high,Core communication verb,curator,2026-03-28,170,standard,DACH,"communication;telecommunications","verb;phone;;",,,FALSE,TRUE,haben,ruft an,rief an,angerufen,+ Akkusativ,"später anrufen; kurz anrufen; zu Hause anrufen",telefonieren mit,telefonieren mit,not English 'to call out / recite',,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
41,word,Ansage,spoken public announcement (e.g. at station or airport),announcement,Hören Sie die Ansagen.,Listen to the announcements.,A1,noun,4,high,Listening comprehension instruction term,curator,2026-03-28,820,standard,DACH,"transport;exam","noun;listening",feminine,Ansagen,Ansage,FALSE,FALSE,,,,,,none,"eine Ansage hören; Lautsprecheransage","Durchsage; Mitteilung",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
42,word,Anschluss,transport connection or utility hookup,"connection, transfer",In Mannheim haben Sie Anschluss nach Saarbrücken. / Ist das die Anmeldung für einen Telefonanschluss?,In Mannheim you have a connection to Saarbrücken. / Is that the registration for a telephone connection?,A1,noun,4,high,Public transport and utility term,curator,2026-03-28,410,standard,DACH,"travel;telecommunications","noun;transport",masculine,Anschlüsse,Anschlusses,FALSE,FALSE,,,,,,none,"Anschluss haben; den Anschluss verpassen","Umsteigemöglichkeit; Verbindung",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
43,word,Antwort,spoken or written reaction to a question,"answer, reply",Er gibt leider keine Antwort.,Unfortunately he gives no answer.,A1,noun,5,very high,Core communication noun,curator,2026-03-28,160,standard,DACH,"communication;exam",noun,feminine,Antworten,Antwort,FALSE,FALSE,,,,,,none,"keine Antwort geben; die richtige Antwort","Erwiderung; Rückmeldung",Frage,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
44,word,Antwortbogen,designated printed sheet for entering exam answers,answer sheet,Schreiben Sie Ihre Lösungen auf den Antwortbogen.,Write your solutions on the answer sheet.,A1,noun,4,high,Exam administration noun,curator,2026-03-28,680,standard,DACH,"exam;education","noun;documents",masculine,Antwortbögen,Antwortbogens,FALSE,FALSE,,,,,,none,"den Antwortbogen ausfüllen; auf dem Antwortbogen markieren","Lösungsbogen; Antwortblatt",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
45,word,antworten,to give an answer to a question or person,"to answer, to reply",Er antwortet nicht.,He does not answer.,A1,verb,4,high,Core communication verb,curator,2026-03-28,210,standard,DACH,communication,"verb;;",,,FALSE,FALSE,haben,antwortet,antwortete,geantwortet,"+ Dativ; auf + Akkusativ","auf eine Frage antworten; schnell antworten","erwidern; reagieren",fragen,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
46,word,Anzeige,advertisement or announcement in press/media,"advertisement, notice",Ich habe Ihre Anzeige in der Zeitung gelesen.,I read your advertisement in the newspaper.,A1,noun,4,high,Media and job/housing search term,curator,2026-03-28,380,standard,DACH,"media;shopping;housing","noun;press",feminine,Anzeigen,Anzeige,FALSE,FALSE,,,,,,none,"eine Anzeige aufgeben; eine Anzeige lesen","Inserat; Annonce",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
47,word,anziehen,to put clothes onto one's body,"to put on, to dress",Ich muss mich noch anziehen.,I still need to get dressed.,A1,verb,4,high,Everyday routine verb,curator,2026-03-28,450,standard,DACH,"clothing;daily life","verb;clothing;;",,,TRUE,TRUE,haben,zieht an,zog an,angezogen,"sich anziehen; + Akkusativ","sich warm anziehen; eine Jacke anziehen",bekleiden,ausziehen,,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
48,word,Apartment,small furnished flat or studio,"apartment, studio flat",Wir haben ein Apartment gemietet.,We rented an apartment.,A1,noun,3,medium,Accommodation vocabulary,curator,2026-03-28,1120,standard,DACH,"housing;travel","noun;lodging",neuter,Apartments,Apartments,FALSE,FALSE,,,,,,none,"ein Apartment mieten; kleines Apartment","Studio; Einzimmerwohnung",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
49,word,Apfel,"round fruit with red, yellow, or green skin",apple,Ein Pfund Äpfel bitte.,"A pound of apples, please.",A1,noun,4,high,Essential food/grocery noun,curator,2026-03-28,680,standard,DACH,"food;shopping","noun;food",masculine,Äpfel,Apfels,FALSE,FALSE,,,,,,none,"ein Kilo Äpfel; frische Äpfel",Obstsorte,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
50,word,Apfelsaft,beverage juice extracted from apples,apple juice,Möchtest du einen Apfelsaft?,Would you like an apple juice?,A1,noun,4,high,Core beverage noun,curator,2026-03-28,580,standard,DACH,"food;dining","noun;food",masculine,Apfelsäfte,Apfelsaftes,FALSE,FALSE,,,,,,none,"Apfelsaftschorle; kalter Apfelsaft","Fruchtsaft; Most",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
51,word,Appetit,"desire to eat; used in dining greeting",appetite,Guten Appetit!,Enjoy your meal!,A1,noun,4,high,Dining and etiquette term,curator,2026-03-28,780,standard,DACH,"food;socializing","noun;dining",masculine,,Appetits,FALSE,FALSE,,,,,,none,"Guten Appetit!; Appetit haben","Esslust; Hunger",Appetitlosigkeit,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
52,word,April,fourth month of the calendar year,April,"Berlin, 12. April 2002.","Berlin, April 12, 2002.",A1,noun,4,high,Core calendar month noun,curator,2026-03-28,250,standard,DACH,"time;calendar","noun;calendar",masculine,Aprile,Aprils,FALSE,FALSE,,,,,,none,"im April; Mitte April",Frühlingsmonat,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
53,word,Arbeit,"labor, task, or employment","work, job, labor",Mein Bruder sucht Arbeit.,My brother is looking for work.,A1,noun,5,very high,Core professional and daily life noun,curator,2026-03-28,68,standard,DACH,"work;profession","noun;work",feminine,Arbeiten,Arbeit,FALSE,FALSE,,,,,,none,"Arbeit suchen; zur Arbeit gehen","Beruf; Tätigkeit; Beschäftigung","Freizeit; Arbeitslosigkeit",Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
54,word,arbeiten,to perform labor or carry out one's profession,to work,Wo arbeiten Sie?,Where do you work?,A1,verb,5,very high,Core activity and professional verb,curator,2026-03-28,72,standard,DACH,"work;profession","verb;work;;",,,FALSE,FALSE,haben,arbeitet,arbeitete,gearbeitet,"intransitive; bei + Dativ; als + Nom.","hart arbeiten; bei Siemens arbeiten","tätig sein; schuften","ausruhen; faulenzen",,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
55,word,arbeitslos,being without paid employment,"unemployed, out of work","Es gibt bei uns viele Leute, die schon lange arbeitslos sind.",Here there are many people who have been unemployed for a long time.,A1,adjective,4,high,Socio-economic vocabulary,curator,2026-03-28,640,standard,DACH,"work;society","adjective;work;;",,,FALSE,FALSE,,,,,,none,"arbeitslos sein; arbeitslos werden","ohne Arbeit; erwerbslos","berufstätig; angestellt",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
56,word,Arbeitsplatz,place where one works or a specific job position,"workplace, job",An meinem Arbeitsplatz fehlt ein Drucker.,A printer is missing at my workplace.,A1,noun,4,high,Work environment vocabulary,curator,2026-03-28,310,standard,DACH,"work;office","noun;work",masculine,Arbeitsplätze,Arbeitsplatzes,FALSE,FALSE,,,,,,none,"am Arbeitsplatz; einen Arbeitsplatz sichern","Büro; Stelle; Posten",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
57,word,Arm,upper limb of the human body,arm,Mein Arm tut weh.,My arm hurts.,A1,noun,4,high,Body parts and health vocabulary,curator,2026-03-28,450,standard,DACH,"body;health","noun;body",masculine,Arme,Arms,FALSE,FALSE,,,,,,none,"der rechte Arm; der linke Arm",Körperteil,,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
58,word,Arzt,medical practitioner / doctor,"doctor, physician",Morgen habe ich einen Termin bei meiner Ärztin.,Tomorrow I have an appointment with my (female) doctor.,A1,noun,5,very high,Health and appointments vocabulary,curator,2026-03-28,210,standard,DACH,"health;professions","noun;health",masculine,Ärzte,Arztes,FALSE,FALSE,,,,,,none,"zum Arzt gehen; Termin beim Arzt","Mediziner; Doktor",,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste,https://www.goethe.de,verified
